,file,vols
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100060/func/sub-100060_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100060/func/sub-100060_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100060/func/sub-100060_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100059/func/sub-100059_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100059/func/sub-100059_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100059/func/sub-100059_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100059/func/sub-100059_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100059/func/sub-100059_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100059/func/sub-100059_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100244/func/sub-100244_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100244/func/sub-100244_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100244/func/sub-100244_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100244/func/sub-100244_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100060/func/sub-100060_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100243/func/sub-100243_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100243/func/sub-100243_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100243/func/sub-100243_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-411477/func/sub-411477_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200166/func/sub-200166_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200166/func/sub-200166_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200166/func/sub-200166_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200166/func/sub-200166_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200166/func/sub-200166_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200166/func/sub-200166_task-machinegame_run-05_bold.nii.gz,216
